create_dropoff_averaged_distance_to_halite,create_dropoff_halite_remaining_threshold,create_dropoff_turn_remaining_threshold,create_ship_halite_remaining_threshold,create_ship_turn_remaining_threshold,forced_return_turn_remaining_threshold,gather_position_halite_amount,halite_density_bin,map_size,players,ray_length,return_halite_amount,samples
15,0.38978303,0.59926117,0.403393581,0.600693769,0.05762295,96.5848609,32,32,2,4.454654579,791.1828278,1
15,0.373905129,0.613124263,0.456999423,0.635821362,0.063263784,71.79756809,32,32,4,5.643315481,777.6597048,7
15,0.376271186,0.618427654,0.456437522,0.639606628,0.061975852,72.0650259,33,32,4,5.798032581,776.6030099,5
15,0.378707359,0.623834404,0.455961172,0.643333414,0.060736829,72.2276625,34,32,4,5.984531988,775.6850452,5
15,0.381162341,0.629299491,0.455562249,0.647024466,0.059561382,72.31046772,35,32,4,6.198032248,774.8740279,6
15,0.383585248,0.63476183,0.45522776,0.650693744,0.058447074,72.33569063,36,32,4,6.43405626,774.1421902,1
15,0.385940054,0.640171219,0.454955515,0.654311418,0.057400989,72.32819228,37,32,4,6.686748884,773.46153,1
15,0.602625186,0.561155629,0.315475197,0.69369178,0.08082195,38.98969215,7,40,4,9.922875234,848.6867332,3
15,0.466060491,0.570796838,0.377624047,0.551388542,0.08285574,58.41808348,8,40,2,9.595084872,824.9634577,5
15,0.604167535,0.566039824,0.318283101,0.697257199,0.078907881,42.6437555,8,40,4,9.794054932,845.4600861,3
15,0.464833966,0.583519174,0.374497275,0.556717712,0.081497207,62.65752,9,40,2,9.358476367,820.5251153,12
15,0.604516185,0.570430257,0.321519126,0.699845052,0.077084094,46.18761565,9,40,4,9.668578256,842.2490166,11
15,0.460638656,0.594842475,0.372903157,0.560945392,0.080192124,66.81444905,10,40,2,9.113973491,816.5629387,62
15,0.603600117,0.574248753,0.325328296,0.70115942,0.075426624,49.60503828,10,40,4,9.543297731,839.0965608,23
15,0.454372476,0.604261448,0.372748242,0.564435907,0.079006812,70.84700326,11,40,2,8.852902141,813.1099485,75
15,0.601236234,0.577364817,0.329945973,0.700713882,0.074025883,52.88069759,11,40,4,9.415547497,836.0291122,68
15,0.446983466,0.611497328,0.373772289,0.567541383,0.077956237,74.73412325,12,40,2,8.573080161,810.1100152,123
15,0.597073819,0.579715357,0.33583564,0.697660668,0.073014456,55.98471568,12,40,4,9.281844113,833.0687332,73
15,0.439294083,0.616364186,0.375668512,0.570412679,0.077027327,78.46356989,13,40,2,8.274191667,807.4970738,184
15,0.590276596,0.581296288,0.343846541,0.690234215,0.072590552,58.8991002,13,40,4,9.137959514,830.2053503,101
15,0.431844335,0.618954202,0.378154281,0.573125376,0.07618754,82.0299096,14,40,2,7.960628519,805.189018,223
15,0.578296385,0.58235497,0.356437999,0.673007388,0.073228579,61.57587781,14,40,4,8.979765045,827.3959997,128
15,0.425037894,0.619481003,0.380910758,0.575542261,0.075402542,85.42809296,15,40,2,7.637144073,803.1205935,192
15,0.451159981,0.594628584,0.423982291,0.490017332,0.082369748,62.77166243,15,40,4,8.921678632,823.2085703,158
15,0.419074518,0.61833581,0.383670627,0.577692285,0.074641728,88.65649453,16,40,2,7.309317894,801.2377754,194
15,0.438524948,0.593828818,0.432168612,0.482022159,0.082231083,64.92885985,16,40,4,8.639630508,820.5857994,148
15,0.414057644,0.615976947,0.386198142,0.579346483,0.073865731,91.70216249,17,40,2,6.982324241,799.5064931,185
15,0.43059673,0.591776846,0.438744237,0.480835355,0.081917687,67.02800757,17,40,4,8.34183343,817.7940251,166
15,0.40993964,0.612831553,0.388389627,0.58051854,0.073072029,94.55516708,18,40,2,6.661093248,797.9297608,125
15,0.424525379,0.589174968,0.444093223,0.483939237,0.081526115,69.05756827,18,40,4,8.034574353,814.873056,130
15,0.406676077,0.609353503,0.390141447,0.58119521,0.072240344,97.20158853,19,40,2,6.350345763,796.5014008,98
15,0.418962841,0.586805556,0.448210565,0.490555316,0.081092703,71.01127355,19,40,4,7.721320054,811.8529439,141
15,0.404116553,0.605847228,0.391465455,0.581498963,0.071371709,99.62216193,20,40,2,6.052908848,795.2157323,69
15,0.413169754,0.585286863,0.451070879,0.500297096,0.080621228,72.89015387,20,40,4,7.40218538,808.7439096,134
15,0.402132352,0.602576247,0.392370288,0.581522092,0.070460294,101.8023627,21,40,2,5.772777314,794.0800294,43
15,0.406625772,0.585035183,0.452799148,0.513104103,0.080104668,74.69126264,21,40,4,7.077863756,805.5443756,120
15,0.400608423,0.599717237,0.392977245,0.581475146,0.069518159,103.7252776,22,40,2,5.512911723,793.092364,19
15,0.399054423,0.586331706,0.453668081,0.528957034,0.079531043,76.41138523,22,40,4,6.750804159,802.2148893,74
15,0.399412169,0.597399465,0.393366163,0.581449993,0.068543009,105.3807771,23,40,2,5.277092006,792.2407764,19
15,0.390423759,0.589087362,0.453891183,0.547173776,0.078830483,78.04602372,23,40,4,6.426103926,798.6672263,57
15,0.39847268,0.595693909,0.393629717,0.581613944,0.067540984,106.7617234,24,40,2,5.068497516,791.521058,3
15,0.381406391,0.593044285,0.453782039,0.566466732,0.077929723,79.58346397,24,40,4,6.117871962,794.8700283,48
15,0.397704497,0.594626184,0.39385385,0.582030448,0.066514326,107.8677791,25,40,2,4.889863333,790.9113103,1
15,0.373633292,0.597443342,0.453435779,0.584177622,0.076746077,81.00304162,25,40,4,5.85034105,790.9844721,35
15,0.368775001,0.601587862,0.452877684,0.597931803,0.075321088,82.28226314,26,40,4,5.646706683,787.4048019,20
15,0.367068458,0.605379232,0.452180437,0.607553766,0.073792708,83.40145065,27,40,4,5.510804258,784.4243133,10
15,0.367531527,0.609073156,0.451485452,0.614377961,0.072259602,84.34832339,28,40,4,5.432785738,782.0386013,10
15,0.371728995,0.616923526,0.450231373,0.623905454,0.069237652,85.7073325,30,40,4,5.421466528,778.5485579,3
15,0.374522284,0.621242112,0.449751146,0.627876744,0.067764835,86.12864722,31,40,4,5.481769973,777.2269041,2
15,0.377475068,0.625792973,0.449372038,0.631688015,0.066321293,86.39200322,32,40,4,5.58266901,776.0927151,2
15,0.380472979,0.63056504,0.449081795,0.635475692,0.064916046,86.51455522,33,40,4,5.722471585,775.0914549,2
15,0.625563864,0.563507868,0.303926995,0.683204521,0.08436037,45.90717088,7,48,4,10.35585178,852.6667736,2
15,0.492719983,0.570346709,0.367229547,0.527314173,0.085118645,65.4862419,8,48,2,10.24907018,824.922828,2
15,0.627494624,0.570385448,0.307865868,0.6875137,0.082136863,49.89030408,8,48,4,10.23224237,848.775721,2
15,0.491644156,0.584664833,0.363148948,0.535944872,0.083493096,70.00184825,9,48,2,10.02783913,819.9963349,15
15,0.628166669,0.577312164,0.312213973,0.690896,0.079906525,53.79876127,9,48,4,10.11870544,844.8712567,15
15,0.48750653,0.598225756,0.360075087,0.545265133,0.081809237,74.51954904,10,48,2,9.806125871,815.3907442,46
15,0.627520284,0.584141027,0.317073672,0.693123774,0.077753926,57.61869653,10,48,4,10.01287702,841.0067812,26
15,0.480494112,0.61007007,0.358533506,0.554937466,0.080206403,78.97529687,11,48,2,9.576402825,811.2442489,97
15,0.625376699,0.590616796,0.322566377,0.693694923,0.075794211,61.32746692,11,48,4,9.912013886,837.2448537,56
15,0.471074378,0.619373472,0.358853309,0.564293778,0.078787381,83.31126943,12,48,2,9.331438272,807.5970543,156
15,0.621545045,0.596570637,0.329050018,0.6918476,0.074161933,64.90859517,12,48,4,9.812001054,833.6343111,80
15,0.460367953,0.625702892,0.361026399,0.572988083,0.077604477,87.4837495,13,48,2,9.066616781,804.4482313,230
15,0.615620307,0.60192322,0.337134107,0.686063727,0.073031561,68.35574267,13,48,4,9.707747646,830.191653,113
15,0.449371977,0.628928255,0.364703618,0.580590749,0.076633908,91.466615,14,48,2,8.78088508,801.7371678,223
15,0.606578357,0.606558527,0.348205112,0.673039351,0.072684269,71.66303169,14,48,4,9.59172565,826.9178494,142
15,0.439156215,0.629345034,0.369330242,0.586771503,0.075811856,95.24693248,15,48,2,8.477392082,799.3948169,234
15,0.495158987,0.590197391,0.400788055,0.455228853,0.080895952,74.69070937,15,48,4,9.407753252,819.5332139,154
15,0.430373502,0.627448298,0.374302427,0.591404234,0.075075421,98.82560669,16,48,2,8.163049759,797.3384313,207
15,0.480653593,0.588092449,0.40702417,0.443815756,0.080477658,77.35382526,16,48,4,9.145327719,816.270608,168
15,0.423368421,0.623975777,0.379032928,0.594310713,0.074355946,102.1947313,17,48,2,7.844029827,795.5095845,179
15,0.472348393,0.586839597,0.412986986,0.442892501,0.079858899,79.93848965,17,48,4,8.874338206,813.2368424,151
15,0.418109098,0.619668227,0.383140302,0.595584541,0.073600731,105.3482461,18,48,2,7.526278363,793.8945069,108
15,0.466018467,0.585687384,0.418385496,0.447024359,0.079219374,82.43900569,18,48,4,8.600566005,810.309129,172
15,0.414392558,0.615154503,0.38638221,0.595474625,0.072793702,108.2721132,19,48,2,7.215191776,792.4647253,69
15,0.460359779,0.584726043,0.422908018,0.454701137,0.078624655,84.83914619,19,48,4,8.325845364,807.4755793,122
15,0.411884145,0.610851863,0.3887511,0.594340046,0.071933302,110.9447047,20,48,2,6.913754789,791.2209728,46
15,0.454922569,0.584238948,0.42639331,0.465216103,0.078108247,87.135237,20,48,4,8.051160379,804.7490232,121
15,0.410276205,0.607046158,0.390342309,0.592579019,0.07102125,113.346684,21,48,2,6.626065155,790.1517857,18
15,0.449250803,0.584667208,0.428766156,0.477924512,0.077669511,89.29616021,21,48,4,7.776671544,802.1513826,92
15,0.409243268,0.603881819,0.391273803,0.590511688,0.070063281,115.4591168,22,48,2,6.354457123,789.2576223,5
15,0.443383259,0.586219144,0.430218013,0.492316963,0.077302049,91.30320766,22,48,4,7.50388595,799.6969462,71
15,0.408580421,0.601410886,0.391737841,0.588482967,0.069071701,117.264615,23,48,2,6.103032323,788.5190383,5
15,0.437231204,0.588848062,0.430905979,0.507514707,0.0769683,93.12959347,23,48,4,7.234749549,797.3529836,45
15,0.408130594,0.599666126,0.391900453,0.58669738,0.068054875,118.7572817,24,48,2,5.874461236,787.9272288,5
15,0.431092641,0.592464414,0.431150984,0.522767807,0.076615226,94.75651272,24,48,4,6.974205288,795.0928745,23
15,0.42519867,0.596761825,0.431202832,0.537448271,0.076195206,96.17080568,25,48,4,6.728631902,792.8938101,32
15,0.41974363,0.601558986,0.43123655,0.551029181,0.075644608,97.36777057,26,48,4,6.503045535,790.7268009,14
15,0.414946774,0.60667924,0.43140594,0.563357951,0.074937314,98.35416434,27,48,4,6.30718475,788.588545,3
15,0.410865619,0.61197729,0.431769352,0.574474612,0.074056193,99.13313136,28,48,4,6.147875737,786.4865657,4
